forecast_origin,target_month,model,p_trend,ci95_lo,ci95_hi,interval_width,oos_brier,oos_log_loss,calibration_ece_3bin,mcs_included,promotion_eligible,selected,train_n
2026-08,2026-09,global,0.4973870581141711,0.4434663605316525,0.5464400111339252,0.10297365060227265,0.25364636275515,0.7004635974898664,0.029083273479969585,true,false,false,181
2026-08,2026-09,calendar,0.6119620643746606,0.3913885586560444,0.8041285848313582,0.4127400261753138,0.25685245652445116,0.7162640522513293,0.07750151601122966,true,false,true,181
2026-08,2026-09,calendar_calibrated,0.5271937331565385,0.4329158035139622,0.6413120815531143,0.20839627803915206,0.2501498117507723,0.6940259400514137,0.029791923788180037,true,false,false,181
2026-08,2026-09,persistence,0.9909277725918423,0.9909277725918423,0.9909277725918423,0.0,0.46268560826908023,3.697551872918884,0.4292662389843045,false,false,false,181
2026-08,2026-09,markov,0.48990460639960953,0.42090105423789603,0.5511090092025683,0.1302079549646723,0.2550382896187813,0.703248796874294,0.023963643795030964,true,false,false,181
2026-08,2026-09,seasonal_markov,0.5175487542670448,0.41226524088864747,0.6170176858778217,0.20475244498917422,0.25006012879900413,0.6932658021269555,0.026997290581315943,true,false,false,181
2026-08,2026-09,logistic,0.5085424361866154,0.439955547903887,0.5808905564717773,0.14093500856789032,0.24942884419752456,0.6921113718941074,0.022382199244676076,true,false,false,181
2026-08,2026-09,cyclic,0.49260509917689,0.43530913736976345,0.548860346164821,0.11355120879505759,0.24889435097468737,0.6937344240237584,0.026595064515972162,true,false,false,181
2026-08,2026-09,month_pool,0.535678758947214,0.448496439444053,0.6109508786160399,0.16245443917198693,0.2483789235923027,0.6950672326869589,0.02319891849164555,true,false,false,181
2026-08,2026-09,multiscale,0.5619471099589367,0.48197877378986775,0.6362647741984617,0.15428600040859397,0.25335217007323346,0.699871512444252,0.01987575124873319,true,false,false,181
2026-08,2026-09,cyclic_multiscale,0.5601777380659496,0.47608815117532205,0.637285026876366,0.16119687570104396,0.2539766931178685,0.702640425040818,0.06487484590680725,true,false,false,181
2026-08,2026-09,month_pool_multiscale,0.600906389966442,0.5151212190682013,0.6719484427848019,0.15682722371660063,0.25631864500665197,0.7166449232416726,0.048289195485364804,true,false,false,181
