ym,kind,k,pred_q,pred_s,real_q,real_s,clima
2026-01,projection,0,0.6045478880179441,NaN,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,3,0.19178499953090586,0.3180355429649353,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,4,0.505159382521697,0.31503620743751526,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,5,0.570830518310073,0.3301577568054199,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,6,0.22243781042778232,0.29225775599479675,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,7,0.21860629142708587,0.33487626910209656,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,8,0.14409436236609666,0.3183463513851166,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,9,0.1434446874117912,0.32998189330101013,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,10,0.1776412271156782,0.34085720777511597,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,11,0.19668004852098905,0.33422306180000305,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,12,0.5111056863012414,0.37931954860687256,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,13,0.8032848523183983,0.3941233456134796,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,14,0.9500143348935836,0.4243004322052002,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,15,0.9741467917542685,0.4343212842941284,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,16,0.9872640457036074,0.46240389347076416,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,17,0.9888305044337852,0.46014466881752014,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,18,0.9901326636703338,0.4594413638114929,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,19,0.9889087170544395,0.45681458711624146,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-01,nowcast,20,0.9829429870551555,0.4437437057495117,0.9939431411987645,0.5097005591532502,0.5013781285921006
2026-02,projection,0,0.662544711146885,NaN,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,3,0.7253256166714076,0.33468785881996155,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,4,0.47130399223879255,0.32770228385925293,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,5,0.862983608538485,0.3685069978237152,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,6,0.9409420207938254,0.3996957838535309,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,7,0.9246947206194702,0.3855551779270172,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,8,0.9794160126236267,0.4252738356590271,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,9,0.9686255938204429,0.41237252950668335,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,10,0.9848936045760621,0.4324658215045929,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,11,0.9685338660426632,0.4049931466579437,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,12,0.9324594389336203,0.3984238803386688,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,13,0.939842973385047,0.3954336941242218,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,14,0.9302149211624062,0.38944393396377563,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,15,0.7776106960116675,0.3552597165107727,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,16,0.9134519639345423,0.3691878020763397,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,17,0.8911913908416254,0.3418422043323517,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,18,0.9375759869530108,0.35162100195884705,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-02,nowcast,19,0.953841418783034,0.3618139922618866,0.9269447370372773,0.3686596497449409,0.5029564689079504
2026-03,projection,0,0.29063893977102434,NaN,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,3,0.35933781346751825,0.3335743844509125,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,4,0.14536518297091494,0.3296601474285126,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,5,0.18554528528386663,0.32880425453186035,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,6,0.07006839690621501,0.2958686053752899,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,7,0.07393170531208164,0.2686885893344879,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,8,0.039090955547091376,0.2661580741405487,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,9,0.1412290194232957,0.29625216126441956,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,10,0.0487620663897559,0.30551791191101074,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,11,0.18279553428130976,0.32489895820617676,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,12,0.4048098096853176,0.34747517108917236,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,13,0.7482106708558053,0.39657896757125854,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,14,0.7534096192518046,0.43307000398635864,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,15,0.9417173993607544,0.45289602875709534,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,16,0.9459016718971692,0.4581674635410309,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,17,0.9668826915564118,0.46777164936065674,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,18,0.9791605560737655,0.4751535952091217,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,19,0.979463448253765,0.47118279337882996,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,20,0.9869620900961602,0.4813166856765747,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-03,nowcast,21,0.9803210576680529,0.4785899519920349,0.9895600544078209,0.4864904210179719,0.5052868646375668
2026-04,projection,0,0.268811492421014,NaN,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,3,0.009585583791171023,0.21868261694908142,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,4,0.0022000110070508117,0.21642211079597473,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,5,0.0024647890138521943,0.2285306751728058,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,6,0.0021400285952210725,0.23242327570915222,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,7,0.005571347170242746,0.22269487380981445,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,8,0.004469628429112916,0.2220870852470398,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,9,0.015517128638794396,0.28235095739364624,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,10,0.008770216753905054,0.24505990743637085,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,11,0.0016716492184783705,0.2205103635787964,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,12,0.01665084331338429,0.2748010754585266,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,13,0.006222604418660679,0.23018686473369598,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,14,0.00505914731620186,0.20053549110889435,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,15,0.0025686496890527425,0.20538634061813354,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,16,0.00027125131793128153,0.17322129011154175,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,17,0.00005249554933494694,0.1551952362060547,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,18,0.000016876724835118368,0.15032009780406952,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,19,0.09093011321599476,0.2492304891347885,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-04,nowcast,20,0.020166215777343722,0.21621109545230865,0.000432550299794548,0.13913620851256595,0.50709717319357
2026-05,projection,0,0.40673944477823065,NaN,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,3,0.9862984348155178,0.43081238865852356,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,4,0.10059695473066133,0.26822927594184875,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,5,0.1831268999730142,0.28776946663856506,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,6,0.4590560430120123,0.2927164137363434,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,7,0.7435699351162652,0.34362170100212097,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,8,0.6570612415271618,0.31509727239608765,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,9,0.6030120845519116,0.30279597640037537,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,10,0.31534209893917553,0.25534263253211975,0.40757784515775236,0.23167005381901307,0.511960052083949
2026-05,nowcast,11,0.19805628788692142,0.25154075026512146,0.40757784515775236,0.23167005381901307,0.511960052083949
